,year,month,sales,iso_alpha,consumer_price,populations,gdp
6636,2023,2,3750,SVN,195.7240835047678,30790686.916279674,433926247250.5
6693,2023,3,5260,SVN,195.7240835047678,30790686.916279674,433926247250.5
6749,2023,4,4324,SVN,195.7240835047678,30790686.916279674,433926247250.5
6804,2023,5,4847,SVN,195.7240835047678,30790686.916279674,433926247250.5
6859,2023,6,4658,SVN,195.7240835047678,30790686.916279674,433926247250.5
6914,2023,7,3764,SVN,195.7240835047678,30790686.916279674,433926247250.5
6968,2023,8,3234,SVN,195.7240835047678,30790686.916279674,433926247250.5
7019,2023,9,4046,SVN,195.7240835047678,30790686.916279674,433926247250.5
32,2014,1,21747,SWE,103.643306416286,9696110.0,581964017237.095
87,2014,2,25001,SWE,103.63926564490275,9704699.666666666,575558997579.8168
146,2014,3,32021,SWE,103.63522487351949,9713289.333333334,569153977922.5387
204,2014,4,31552,SWE,103.63118410213625,9721879.0,562748958265.2605
262,2014,5,31760,SWE,103.627143330753,9730468.666666666,556343938607.9823
320,2014,6,32794,SWE,103.62310255936974,9739058.333333334,549938918950.7041
384,2014,7,23033,SWE,103.6190617879865,9747648.0,543533899293.426
438,2014,8,27856,SWE,103.61502101660325,9756237.666666666,537128879636.1478
497,2014,9,30646,SWE,103.61098024521999,9764827.333333334,530723859978.8697
555,2014,10,32523,SWE,103.60693947383675,9773417.0,524318840321.5915
615,2014,11,29860,SWE,103.6028987024535,9782006.666666666,517913820664.31335
673,2014,12,31927,SWE,103.59885793107024,9790596.333333334,511508801007.03516
737,2015,1,23236,SWE,103.594817159687,9799186.0,505103781349.757
794,2015,2,27372,SWE,103.67978815337692,9809510.916666666,505983022193.0729
854,2015,3,36210,SWE,103.76475914706683,9819835.833333334,506862263036.3887
914,2015,4,35386,SWE,103.84973014075675,9830160.75,507741503879.7045
975,2015,5,33873,SWE,103.93470113444667,9840485.666666666,508620744723.0203
1038,2015,6,36683,SWE,104.01967212813658,9850810.583333334,509499985566.3362
1103,2015,7,26678,SWE,104.1046431218265,9861135.5,510379226409.652
1159,2015,8,30801,SWE,104.18961411551642,9871460.416666666,511258467252.96783
1220,2015,9,34129,SWE,104.27458510920633,9881785.333333334,512137708096.2837
1281,2015,10,36377,SWE,104.35955610289625,9892110.25,513016948939.5995
1342,2015,11,35638,SWE,104.44452709658617,9902435.166666666,513896189782.91534
